year,month,count
2009,12,2
2010,1,1611
2010,2,3432
2010,3,5574
2010,4,6121
2010,5,6814
2010,6,9622
2010,7,20146
2010,8,25615
2010,9,28872
2010,10,31897
2010,11,32959
2010,12,36490
2011,1,43102
2011,2,49460
2011,3,65267
2011,4,70397
2011,5,75220
2011,6,73629
2011,7,83960
2011,8,82308
2011,9,85038
2011,10,91822
2011,11,87815
2011,12,93439
2012,1,95647
2012,2,96729
2012,3,111126
2012,4,107666
2012,5,111731
2012,6,111176
2012,7,111042
2012,8,110621
2012,9,106486
2012,10,106807
2012,11,105268
2012,12,115193
2013,1,115156
2013,2,113002
2013,3,137102
2013,4,132738
2013,5,140150
2013,6,134791
2013,7,137584
2013,8,143269
2013,9,131952
2013,10,126239
2013,11,121748
2013,12,119068
2014,1,117688
2014,2,117356
2014,3,143878
2014,4,136653
2014,5,149841
2014,6,138392
2014,7,143883
2014,8,152554
2014,9,131385
2014,10,133769
2014,11,130665
2014,12,129820
2015,1,136715
2015,2,128322
2015,3,151965
2015,4,146144
2015,5,158663
2015,6,142997
2015,7,150299
2015,8,153483
2015,9,133860
2015,10,142881
2015,11,129688
2015,12,134840
2016,1,131568
2016,2,130262
2016,3,142242
2016,4,142279
2016,5,142200
2016,6,131948
2016,7,140717
2016,8,127140
2016,9,119834
2016,10,124791
2016,11,107824
2016,12,113969
2017,1,109231
2017,2,111790
2017,3,124388
2017,4,124350
2017,5,122896
2017,6,117720
2017,7,124086
2017,8,111758
2017,9,103261
2017,10,104013
2017,11,95528
2017,12,99445
2018,1,92929
2018,2,95202
2018,3,110533
2018,4,103446
2018,5,104980
2018,6,99899
2018,7,103048
2018,8,95995
2018,9,90320
2018,10,88671
2018,11,81562
2018,12,90667
2019,1,82546
2019,2,81338
2019,3,100159
2019,4,89365
2019,5,93350
2019,6,90891
2019,7,89848
2019,8,89405
2019,9,80924
2019,10,80054
2019,11,78018
2019,12,79262
2020,1,76512
2020,2,80397
2020,3,44915
2020,4,12562
2020,5,22138
2020,6,30821
2020,7,34028
2020,8,36825
2020,9,36925
2020,10,37029
2020,11,31739
2020,12,30281
2021,1,32253
2021,2,30685
2021,3,39929
2021,4,40483
2021,5,46000
2021,6,43422
2021,7,47740
2021,8,42800
2021,9,36224
2021,10,41588
2021,11,36960
2021,12,39383
2022,1,20940
