month,count
2009-12,2
2010-01,1611
2010-02,3432
2010-03,5574
2010-04,6121
2010-05,6814
2010-06,9622
2010-07,20146
2010-08,25615
2010-09,28872
2010-10,31897
2010-11,32959
2010-12,36490
2011-01,43102
2011-02,49460
2011-03,65267
2011-04,70397
2011-05,75220
2011-06,73629
2011-07,83960
2011-08,82308
2011-09,85038
2011-10,91822
2011-11,87815
2011-12,93439
2012-01,95647
2012-02,96729
2012-03,111126
2012-04,107666
2012-05,111731
2012-06,111176
2012-07,111042
2012-08,110621
2012-09,106486
2012-10,106807
2012-11,105268
2012-12,115193
2013-01,115156
2013-02,113002
2013-03,137102
2013-04,132738
2013-05,140150
2013-06,134791
2013-07,137584
2013-08,143269
2013-09,131952
2013-10,126239
2013-11,121748
2013-12,119068
2014-01,117688
2014-02,117356
2014-03,143878
2014-04,136653
2014-05,149841
2014-06,138392
2014-07,143883
2014-08,152554
2014-09,131385
2014-10,133769
2014-11,130665
2014-12,129820
2015-01,136715
2015-02,128322
2015-03,151965
2015-04,146144
2015-05,158663
2015-06,142997
2015-07,150299
2015-08,153483
2015-09,133860
2015-10,142881
2015-11,129688
2015-12,134840
2016-01,131568
2016-02,130262
2016-03,142242
2016-04,142279
2016-05,142200
2016-06,131948
2016-07,140717
2016-08,127140
2016-09,119834
2016-10,124791
2016-11,107824
2016-12,113969
2017-01,109231
2017-02,111790
2017-03,124388
2017-04,124350
2017-05,122896
2017-06,117720
2017-07,124086
2017-08,111758
2017-09,103261
2017-10,104013
2017-11,95528
2017-12,99445
2018-01,92929
2018-02,95202
2018-03,110533
2018-04,103446
2018-05,104980
2018-06,99899
2018-07,103048
2018-08,95995
2018-09,90320
2018-10,88671
2018-11,81562
2018-12,90667
2019-01,82546
2019-02,81338
2019-03,100159
2019-04,89365
2019-05,93350
2019-06,90891
2019-07,89848
2019-08,89405
2019-09,80924
2019-10,80054
2019-11,78018
2019-12,79262
2020-01,76512
2020-02,80397
2020-03,44915
2020-04,12562
2020-05,22138
2020-06,30821
2020-07,34028
2020-08,36825
2020-09,36925
2020-10,37029
2020-11,31739
2020-12,30281
2021-01,32253
2021-02,30685
2021-03,39929
2021-04,40483
2021-05,46000
2021-06,43422
2021-07,47740
2021-08,42800
2021-09,36224
2021-10,41588
2021-11,36960
2021-12,39383
2022-01,20940
