year,month,count
2005,2,3
2005,3,74
2005,4,26
2005,5,108
2005,6,38
2005,7,259
2005,8,66
2005,9,69
2005,10,39
2005,11,70
2005,12,102
2006,1,221
2006,2,185
2006,3,191
2006,4,196
2006,5,224
2006,6,180
2006,7,389
2006,8,492
2006,9,461
2006,10,433
2006,11,426
2006,12,455
2007,1,802
2007,2,1420
2007,3,1219
2007,4,1111
2007,5,908
2007,6,1141
2007,7,1660
2007,8,1665
2007,9,1442
2007,10,1429
2007,11,1377
2007,12,1189
2008,1,2111
2008,2,2228
2008,3,2788
2008,4,3745
2008,5,3796
2008,6,4145
2008,7,5211
2008,8,5596
2008,9,4611
2008,10,4898
2008,11,4689
2008,12,4408
2009,1,5974
2009,2,5058
2009,3,6091
2009,4,5539
2009,5,5513
2009,6,5864
2009,7,6844
2009,8,7303
2009,9,6462
2009,10,6453
2009,11,6570
2009,12,6716
2010,1,10745
2010,2,9289
2010,3,10586
2010,4,9743
2010,5,10135
2010,6,10256
2010,7,12554
2010,8,13490
2010,9,12621
2010,10,12988
2010,11,12875
2010,12,13305
2011,1,17766
2011,2,16763
2011,3,19571
2011,4,18467
2011,5,18971
2011,6,19664
2011,7,22397
2011,8,21978
2011,9,19021
2011,10,18351
2011,11,19119
2011,12,18745
2012,1,24760
2012,2,22946
2012,3,24115
2012,4,22739
2012,5,23057
2012,6,24039
2012,7,26276
2012,8,24990
2012,9,23147
2012,10,23870
2012,11,23184
2012,12,23447
2013,1,30683
2013,2,26903
2013,3,31257
2013,4,29867
2013,5,30846
2013,6,31067
2013,7,33650
2013,8,36543
2013,9,33794
2013,10,32929
2013,11,33303
2013,12,33108
2014,1,39359
2014,2,35093
2014,3,43159
2014,4,40633
2014,5,43917
2014,6,43973
2014,7,50066
2014,8,50220
2014,9,43419
2014,10,44580
2014,11,43462
2014,12,44394
2015,1,53951
2015,2,49653
2015,3,56777
2015,4,54848
2015,5,58458
2015,6,59144
2015,7,64940
2015,8,65805
2015,9,57164
2015,10,58841
2015,11,54646
2015,12,54188
2016,1,64985
2016,2,64203
2016,3,67500
2016,4,63692
2016,5,67510
2016,6,65953
2016,7,71701
2016,8,66458
2016,9,59203
2016,10,58845
2016,11,53115
2016,12,55717
2017,1,64055
2017,2,61115
2017,3,69808
2017,4,69591
2017,5,73519
2017,6,74102
2017,7,78306
2017,8,72509
2017,9,64806
2017,10,67579
2017,11,62136
2017,12,62522
2018,1,70316
2018,2,67562
2018,3,80995
2018,4,78499
2018,5,79434
2018,6,80913
2018,7,88911
2018,8,80284
2018,9,71713
2018,10,71755
2018,11,65915
2018,12,70065
2019,1,74624
2019,2,71618
2019,3,84382
2019,4,77047
2019,5,80542
2019,6,82446
2019,7,83286
2019,8,82113
2019,9,72933
2019,10,70620
2019,11,63532
2019,12,64141
2020,1,67025
2020,2,67201
2020,3,45915
2020,4,21947
2020,5,31875
2020,6,40966
2020,7,47722
2020,8,50433
2020,9,48111
2020,10,48895
2020,11,41875
2020,12,42592
2021,1,45490
2021,2,42885
2021,3,54127
2021,4,53781
2021,5,57762
2021,6,57846
2021,7,60455
2021,8,56439
2021,9,46397
2021,10,49304
2021,11,45224
2021,12,48479
2022,1,31665
