business_id,name,stars,review_count,address,city,state,category,rank
J_vVFOh_7iVqEkKElkaDjg,Affordable Notary Service,5.0,20,"318 Harrison Ave, Fl 2",New Orleans,LA,& Probates,1
ZoHPpEtfPlR6dwCe9RF4wg,High Sierra Legal,5.0,19,"",Reno,NV,& Probates,2
dDm19TZjAzXM8oN2jZdRhQ,"Steven J Fromm & Associates, PC",5.0,16,"1420 Walnut St, Ste 300",Philadelphia,PA,& Probates,3
kqgfNhGsxeoOVgg1uNKYnA,Cross Law Group,5.0,14,611 Sierra Rose Dr,Reno,NV,& Probates,4
flo4vO_uHBMxV8yH_CZf8A,Giampolo Law Group,5.0,13,"1221 Locust St, Ste 202",Philadelphia,PA,& Probates,5
uYi3N0Q2CobrRh7u0BJhAQ,CICADA,5.0,7,"2115 Magazine St, Ste B",New Orleans,LA,3D Printing,1
xIYsg5cPDR7PClBYaLepjQ,Big Frog Custom T-Shirts & More,4.5,41,5057 South McCarran Blvd,Reno,NV,3D Printing,2
IcR6OaxygHPqhhtja8j-Ug,Ultimate 3D Printing Store,4.0,7,1851 Gunn Hwy,Odessa,FL,3D Printing,3
V4A1CtHRgztPNUbxvuizXQ,NextFab,4.0,5,2025 Washington Ave,Philadelphia,PA,3D Printing,4
59yrjRxP423hzGWGgSpLNg,People Prints 3D,2.0,10,20 S 3rd St,Philadelphia,PA,3D Printing,5
Zq0q_SL_e_QhuRviuJp_Pw,SWARMFIRE,5.0,13,"593 Overmyer Rd, Ste B",Sparks,NV,ATV Rentals/Tours,1
_RaaqIiKaLx4xSohCR8gpQ,Nevada Adventure Rentals,5.0,13,3060 Mill St,Reno,NV,ATV Rentals/Tours,2
0M5un8QAIYL1jV72rYhrMA,Electric Glide Tours,5.0,7,1805 E 9th Ave,Tampa,FL,ATV Rentals/Tours,3
GfyqtR9p6OUEGElerUss-A,Talia Marie Photography,5.0,6,"",Reno,NV,ATV Rentals/Tours,4
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,4.5,48,1 Garden St,Santa Barbara,CA,ATV Rentals/Tours,5
rqmSwgI-ZDsQhyJQpDIDZA,Ice Point Cafe,5.0,87,"1113 Murfreesboro Rd, Ste 115",Franklin,TN,Acai Bowls,1
mLJcCIhUdVYAlYHeVdg77w,Escape Root Juicery,5.0,80,769 Main St,Dunedin,FL,Acai Bowls,2
Et_kxd5AaVjxRhEBDdSOWg,Annie Tea House,5.0,60,1924 W Brandon Blvd,Brandon,FL,Acai Bowls,3
6Uu74gvylXUYRYllKUDKNw,Fish Bowl,5.0,50,2882 US-19 Alt,Palm Harbor,FL,Acai Bowls,4
-gFkkYh0tqQcgZh3z0yyYw,Wow Wow  Hawaiian Lemonade,5.0,30,"7705 N Oracle Rd, Ste 133",Oro Valley,AZ,Acai Bowls,5
rQ2CSHRkZSn5WCu7OfVI-Q,Trend Eye Care,5.0,193,"180 W Girard Ave, Ste 5",Philadelphia,PA,Accessories,1
smKLreTouMRNVoa1ocP5TA,Leather Surgeons,5.0,110,"",Doylestown,PA,Accessories,2
9S6QS9u-hsWvRs3NUaWlyw,Bucci's Jewelry & Design,5.0,73,117 W Ridge Pike,Conshohocken,PA,Accessories,3
yMXgFFx-KjmT_QItAuk_Ew,The Dress,5.0,71,28 E Canon Perdido,Santa Barbara,CA,Accessories,4
fyyUksDpNLaBQO22zPOqmg,F.A.N.,5.0,61,2472 Frankford Ave,Philadelphia,PA,Accessories,5
pgyqdYivTg1MkQXRrAK2rA,Forbush CPAs,5.0,24,"5490 Longley Ln, Ste A",Reno,NV,Accountants,1
hlZRY9NqVVsHDxMjNoiaJQ,"Tax Offices of Joel Perez, EA",5.0,22,"4123 State St, Ste 100",Santa Barbara,CA,Accountants,2
YiSxDsQgozK-uNGST2ss1g,Landmark Tax Group,5.0,19,"19046 Bruce B Downs Blvd, Ste 1520",Tampa,FL,Accountants,3
hX3cXwl6pbFh6dDLJfjldA,Glover & Glover CPAs,5.0,16,206 Wilson Pike Cir,Brentwood,TN,Accountants,4
13QTZcMtpJy6sh8qLoox0w,Virtuous Tax Associates,5.0,13,"",Indianapolis,IN,Accountants,5
vw1fI9K3bIB18rCwp8owag,Infinity Laser Hair Removal & Skin Rejuvenation,5.0,37,"141 N Meramec Ave, Fl 3 , Ste 317",Clayton,MO,Acne Treatment,1
2Owm9wALXx8SP6Kxic0GXA,Acne Specialists of Nashville,5.0,28,"9 S 9th St, Ste 7",Nashville,TN,Acne Treatment,2
9rb8uaIhoLMyvF-RhTJ4bA,Skin Care by Erica,5.0,26,3675 Lakeside Dr,Reno,NV,Acne Treatment,3
SMOLJJxQB_VQN44Do37F5w,Mandy Epley Skin Studio,5.0,26,2225 Soniat St,New Orleans,LA,Acne Treatment,4
tF5jlKi60PzgAvM0hqMpiA,Tucson Acne Clinic,5.0,20,1254 Paseo Alegre,Tucson,AZ,Acne Treatment,5
P2lgVD6rQVmOaPlYBeru9Q,Break Through Reno,5.0,335,"2500 E 2nd St, Ground Fl - Grand Sierra",Reno,NV,Active Life,1
1YflE3DkiCZGgLnf3paLnA,Forest Park,5.0,317,5595 Grand Dr,Saint Louis,MO,Active Life,2
xkWhyrBL0i_P8YdXGJ2iUg,Confederacy of Cruisers Bike Tours,5.0,316,634 Elysian Fields,New Orleans,LA,Active Life,3
B2Tuf5M1wQhdwAKnD-w7Yw,New Orleans Airboat Tours,5.0,286,4757 Orleans Way,Marrero,LA,Active Life,4
iJ3A49gtUPspc7nd4Ov2HA,Escape My Room,5.0,282,633 Constance St,New Orleans,LA,Active Life,5
ZmJmr1cp0-4M7jdDT5v_QA,Aquarius Wellness Center For Healing Arts,5.0,78,"7750 Clayton Rd, Ste 103",Richmond Heights,MO,Acupuncture,1
GdUUFIecyLRZ1GeKsseCaA,North Tampa Spine & Joint Center,5.0,75,17429 Bridge Hill Ct,Tampa,FL,Acupuncture,2
X7FQ5k29A_RRYep7TOfjtw,"Dawna Ara, DACM, LAc",5.0,54,"23 Hitchcock Way, Ste 110",Santa Barbara,CA,Acupuncture,3
