year,month,count
2009,4,47
2009,5,64
2009,6,72
2009,7,75
2009,8,92
2009,9,89
2009,10,74
2009,11,61
2009,12,91
2010,1,531
2010,2,922
2010,3,1259
2010,4,1221
2010,5,1200
2010,6,1473
2010,7,2847
2010,8,3140
2010,9,3316
2010,10,3501
2010,11,3454
2010,12,3848
2011,1,4677
2011,2,4863
2011,3,6035
2011,4,6234
2011,5,6712
2011,6,7213
2011,7,8431
2011,8,7577
2011,9,7576
2011,10,7861
2011,11,7763
2011,12,8453
2012,1,8671
2012,2,8813
2012,3,10290
2012,4,10774
2012,5,10842
2012,6,10574
2012,7,10889
2012,8,11138
2012,9,7799
2012,10,6764
2012,11,6654
2012,12,7251
2013,1,7480
2013,2,7833
2013,3,9493
2013,4,9428
2013,5,9498
2013,6,9538
2013,7,10234
2013,8,10860
2013,9,9301
2013,10,8282
2013,11,8181
2013,12,7435
2014,1,8147
2014,2,8917
2014,3,11944
2014,4,11223
2014,5,11980
2014,6,10995
2014,7,11656
2014,8,10825
2014,9,6267
2014,10,5930
2014,11,5576
2014,12,5700
2015,1,6828
2015,2,6516
2015,3,7201
2015,4,7150
2015,5,7977
2015,6,7939
2015,7,8328
2015,8,8364
2015,9,7549
2015,10,7582
2015,11,7131
2015,12,7121
2016,1,8331
2016,2,8247
2016,3,8866
2016,4,8387
2016,5,8596
2016,6,7972
2016,7,8347
2016,8,8140
2016,9,7250
2016,10,7341
2016,11,6128
2016,12,6728
2017,1,7620
2017,2,7238
2017,3,9187
2017,4,9157
2017,5,8804
2017,6,8643
2017,7,8761
2017,8,7794
2017,9,7027
2017,10,7183
2017,11,6290
2017,12,6205
2018,1,5788
2018,2,5867
2018,3,6951
2018,4,6562
2018,5,6386
2018,6,6135
2018,7,6079
2018,8,5359
2018,9,4830
2018,10,4530
2018,11,4050
2018,12,4496
2019,1,4912
2019,2,4706
2019,3,5429
2019,4,4874
2019,5,5268
2019,6,5280
2019,7,5099
2019,8,5349
2019,9,4548
2019,10,4379
2019,11,4058
2019,12,3744
2020,1,3907
2020,2,3765
2020,3,2700
2020,4,1174
2020,5,1941
2020,6,2327
2020,7,2785
2020,8,3095
2020,9,2879
2020,10,2933
2020,11,2485
2020,12,2445
2021,1,2794
2021,2,2578
2021,3,3235
2021,4,3128
2021,5,3352
2021,6,3373
2021,7,3216
2021,8,3179
2021,9,2708
2021,10,2868
2021,11,2785
2021,12,1777
2022,1,925
