name,city,stars,review_count
Blues City Deli,Saint Louis,5.0,991
Carlillos Cocina,Sparks,5.0,799
Free Tours By Foot,New Orleans,5.0,769
Tumerico,Tucson,5.0,705
Yats,Franklin,5.0,623
Nelson's Green Brier Distillery,Nashville,5.0,545
Smiling With Hope Pizza,Reno,5.0,526
Barracuda Deli Cafe St. Pete Beach,St Pete Beach,5.0,521
SUGARED + BRONZED,Philadelphia,5.0,513
Cafe Soleil,St. Pete Beach,5.0,468
Kaffe Crepe,Reno,5.0,454
Buena Onda,Santa Barbara,5.0,414
JB Plumbing and Heating,Philadelphia,5.0,398
Big Al's Deli,Nashville,5.0,390
AJ's Press,Tampa,5.0,376
Sustainable Wine Tours,Santa Barbara,5.0,358
Barista Del Barrio,Tucson,5.0,357
Two Chicks Walking Tours,New Orleans,5.0,342
Sulphur Springs ??Sandwiches Shop,Tampa,5.0,336
Break Through Reno,Reno,5.0,335
Kounter Kulture,St. Louis,5.0,329
Forest Park,Saint Louis,5.0,317
Sult??n Mediterranean Restaurant,St. Louis,5.0,317
The Sweet Life Bakeshop,Philadelphia,5.0,316
Confederacy of Cruisers Bike Tours,New Orleans,5.0,316
Balkan Treat Box,Webster Groves,5.0,315
Ice Dreammm Shop,Lutz,5.0,306
German Bistro 2,Largo,5.0,301
Blondes By Erica,Brentwood,5.0,299
Bobby Mack & Co Hair Studio,Philadelphia,5.0,291
New Orleans Airboat Tours,Marrero,5.0,286
Escape My Room,New Orleans,5.0,282
ICI Macarons & Cafe,Philadelphia,5.0,276
A New Twist Balloons and Face Painting,Boise,5.0,276
Sterling Carpet Care,Reno,5.0,276
Vegan International Co. Kitchen & Market,Tampa,5.0,269
Tasty And Delicious,Nashville,5.0,260
KC Carpet and Upholstery Cleaners,Philadelphia,5.0,252
St Yared Ethiopian Restaurant,Indianapolis,5.0,250
Duross & Langel,Philadelphia,5.0,249
Super Scoops,Treasure Island,5.0,245
FreeWheelin' Bike Tours & Rentals,New Orleans,5.0,241
Royal Thai Massage,Santa Barbara,5.0,241
Healthy N Fresh Cafe,Tampa,5.0,238
Desserts by Toffee to Go,Tampa,5.0,236
Flirt Wax Bar,Tampa,5.0,235
Alpine Lock and Key,Reno,5.0,234
SB Buggie,Santa Barbara,5.0,231
City & Suburbs Pest Control Company,Philadelphia,5.0,231
The Escape Game Nashville,Nashville,5.0,231
Yolk White & Associates,Tampa,5.0,229
Mikels The Paul Mitchell Experience,Tampa,5.0,225
Sundae's Ice Cream & Coffee,Indianapolis,5.0,225
Ali'i Poke Indy,Indianapolis,5.0,223
New Orleans Kayak Swamp Tours,New Orleans,5.0,223
Buzz Nola Bike Tours & Rentals,New Orleans,5.0,222
Barrio Bread,Tucson,5.0,221
Tortilleria San Roman,Philadelphia,5.0,219
TeeJay's Sweet Tooth,Indianapolis,5.0,216
New Orleans Secrets Tours,New Orleans,5.0,215
Amelia???s,Indianapolis,5.0,215
Hole In One Donut,Tampa,5.0,214
D'Andrews Bakery & Cafe,Nashville,5.0,212
Tlaolli,Indianapolis,5.0,209
George & Sons Garage Doors,Reno,5.0,208
Don's Auto Repair,Philadelphia,5.0,207
Nola Bliss Massage,New Orleans,5.0,207
Nicey Treat,Indianapolis,5.0,206
American Arborists,Reno,5.0,206
Campione's Taste of Chicago,Gallatin,5.0,206
Santa Barbara Art Glass,Santa Barbara,5.0,204
Kpicu,Clearwater,5.0,203
Subito,Indianapolis,5.0,203
3D Carpet Cleaning and Restoration,Tampa,5.0,203
Salon Bass,Philadelphia,5.0,201
Edessa Restaurant Kurdish Turkish Cuisine,Nashville,5.0,198
Santa Barbara Adventure Company,Santa Barbara,5.0,195
The Poki,Brentwood,5.0,193
German Knodle,Saint Petersburg,5.0,193
Fernando's Smog Check,Goleta,5.0,193
Trend Eye Care,Philadelphia,5.0,193
Eric 'Big E' Airport Transportation Service,New Orleans,5.0,192
ParadICE Hawaiian Shave Ice & Ice Cream,Santa Barbara,5.0,192
3 in 1 Restaurant,Indianapolis,5.0,192
Indy Massage Company,Indianapolis,5.0,191
Urban Fresh,Tucson,5.0,191
The Caf?? at Thistle Farms,Nashville,5.0,189
DeeTours of Santa Barbara,Santa Barbara,5.0,188
The Mediterranean Chickpea,Tampa,5.0,188
Chicago Paulies,Tampa,5.0,186
The Foundry Bakery,Maryland Heights,5.0,185
