word,count
disappointed,250789
hard,244414
stop,235911
wrong,201717
leave,177740
problem,161716
stopped,161237
worst,145603
terrible,128413
horrible,125636
poor,89390
empty,88101
miss,84675
sorry,81040
dirty,80193
charged,77621
disappointing,72150
awful,69964
limited,68098
crazy,65795
lack,61471
avoid,59284
forget,59187
lost,57958
alone,56721
missing,56683
weird,56318
negative,55356
difficult,54499
waste,54024
worse,53292
hate,53187
disappoint,51586
mistake,49217
pain,46475
problems,46104
mess,43590
drop,42386
ridiculous,42078
broken,40405
fire,38848
complain,38168
disgusting,37630
disappointment,37359
damn,37276
missed,37263
lobby,35556
bloody,35249
stuck,34778
unprofessional,34379
doubt,34270
bother,34017
gross,33564
refused,33044
sick,32982
regret,32630
shame,32267
sadly,32144
upset,31853
block,31742
hell,30134
uncomfortable,29985
nasty,28513
strange,28498
admit,27889
pressure,27527
bomb,27458
apologized,27323
excuse,26259
annoying,25961
stopping,25157
tired,25146
trouble,24488
confused,24305
blocks,24244
dead,24163
ignored,23891
crap,23848
sucks,23276
shocked,23057
worry,23025
broke,22862
cuts,22217
annoyed,21820
cancel,21688
downside,21606
damage,21000
awkward,20215
nervous,20176
charges,19910
noisy,19493
shit,19338
apology,19323
ruined,19306
complained,18903
drunk,18869
messed,18467
failed,18280
emergency,17979
apologize,17871
cutting,17780
jerk,17555
warning,17540
worried,17511
lazy,17354
boring,17183
hurt,16840
unbelievable,16698
nuts,16331
afraid,16135
bothered,15629
fake,15483
unacceptable,15468
warned,15372
starving,15332
wasted,15219
frustrating,14617
challenge,14498
fired,14496
stupid,14338
forced,14158
bitter,14063
angry,13919
skeptical,13865
confusing,13609
blah,13602
forgotten,13524
falling,13516
escape,13505
weak,13490
cancelled,13446
accident,13318
blame,13018
frustrated,12733
hesitate,12717
risk,12661
kill,12223
mistakes,12115
pushy,12011
stops,11999
hesitant,11832
fail,11796
dirt,11695
steal,11591
insane,11376
loose,11337
terribly,11335
inconvenience,11289
unhappy,11160
scam,11029
scared,11024
fight,10733
worn,10708
bummer,10541
leak,10498
lied,10447
suck,10400
screaming,10374
rainy,10095
fool,10088
badly,10073
error,10016
disappoints,9983
swear,9896
refuse,9880
ignore,9771
accidentally,9464
fear,9353
delay,9331
pissed,9308
embarrassed,9196
death,9097
disappeared,8939
incompetent,8915
miserable,8852
loss,8838
silly,8737
disaster,8688
screwed,8610
scary,8348
beaten,8326
trap,8220
died,8205
dump,8087
aggressive,8033
ruin,7978
unsure,7969
shoot,7932
alas,7816
wasting,7795
losing,7729
shock,7660
disgusted,7624
exposed,7594
warn,7589
suspect,7582
obnoxious,7573
ugly,7563
torn,7484
discounted,7225
allergic,7204
drag,7181
ghost,7147
hated,7096
urgent,7073
lame,7023
desperate,7010
grey,6957
tears,6893
disorganized,6861
denied,6846
bored,6753
horrendous,6679
demand,6654
delayed,6646
fucking,6628
crying,6592
questioned,6570
irritated,6554
frustration,6528
pathetic,6494
strike,6457
injury,6354
killed,6273
stressed,6233
guilty,6222
dumb,6167
overlooked,6054
crushed,6044
idiot,6007
anxiety,5867
admitted,5818
severe,5703
hide,5671
racist,5659
anxious,5620
stolen,5593
fuck,5592
ashamed,5573
blind,5537
shitty,5510
sigh,5466
avoided,5461
struggling,5459
prevent,5412
struggle,5401
clueless,5354
dislike,5349
insult,5159
dissatisfied,5148
criticism,5113
cancer,5078
embarrassing,5071
useless,5065
sore,5051
questionable,5019
gray,4960
attack,4955
alarm,4942
fallen,4869
pressured,4858
nonsense,4855
hunger,4825
harsh,4761
desperately,4740
bizarre,4740
chaos,4710
distracted,4673
struck,4628
ignorant,4621
apologizing,4592
unimpressed,4585
fails,4535
haunted,4526
alert,4515
blamed,4505
arrogant,4498
stingy,4472
scream,4461
biased,4425
dishonest,4361
failure,4340
scare,4323
suffer,4316
lowest,4300
appalled,4278
neglected,4253
misleading,4232
pretend,4214
dumped,4188
impatient,4177
inconvenient,4164
chaotic,4118
blocked,4086
threatened,4064
struggled,4058
illegal,4049
hates,4000
exhausted,3999
intimidating,3966
stall,3964
horrific,3928
bitch,3898
anti,3881
offended,3848
demanded,3775
destroyed,3710
dull,3679
battle,3589
killing,3579
fraud,3532
suffering,3416
hiding,3409
interrupted,3399
crime,3357
insulting,3349
liar,3317
shocking,3316
cheat,3313
hurts,3278
dispute,3273
disrespect,3259
unsatisfied,3248
upsetting,3192
accused,3186
hurting,3184
funeral,3182
barrier,3159
shortage,3152
errors,3151
piss,3133
mandatory,3110
limits,3089
screamed,3076
dragged,3062
mistaken,3053
threatening,3051
cried,3049
indifferent,3046
regretted,3027
bullshit,3001
incompetence,2995
apprehensive,2945
strikes,2927
exaggerating,2926
