word,count
good,3145085
great,2985783
nice,1175323
best,1171590
love,1001033
friendly,993522
amazing,873064
recommend,713516
pretty,651200
better,648284
fresh,627568
want,586146
excellent,484976
super,484169
awesome,459748
favorite,459275
happy,447821
clean,431774
worth,418414
perfect,405073
sweet,379181
loved,341558
free,316937
kind,316176
wonderful,306342
care,289926
huge,284576
helpful,275670
fantastic,274500
enjoy,261105
cool,226141
beautiful,220487
help,215547
thank,196244
wish,193353
easy,189435
perfectly,187804
fine,170653
liked,163040
warm,161713
impressed,153542
glad,152201
comfortable,139873
recommended,139818
yummy,137597
thanks,133868
pleasant,129891
cute,128953
please,122214
prepared,118322
hope,116902
outstanding,106235
tender,105236
excited,103711
interesting,97761
greeted,96534
lovely,95020
fair,91084
feeling,90061
solid,89104
share,84207
chance,82771
true,76728
pleased,75791
shared,75314
healthy,74390
fabulous,72734
clearly,72597
generous,69913
appreciate,69644
honest,68032
matter,63033
satisfied,62397
strong,61461
save,60445
favorites,60052
rich,59630
clear,58577
gift,56125
positive,56124
smile,55111
support,53066
welcome,53061
lucky,51395
appreciated,51039
trust,50334
safe,50111
straight,48336
courteous,47159
important,46944
popular,46758
hoping,45695
yeah,43366
funny,42688
helping,42218
creative,41490
certain,40731
bright,40688
goodness,38583
impressive,38133
agreed,36566
superb,36370
hopefully,36324
enjoying,36235
interested,35160
relaxed,34242
heaven,33869
terrific,33273
pleasure,33040
inviting,32954
luck,32378
comfort,32307
favor,32282
natural,31967
luckily,31660
allow,31285
agree,31092
beautifully,30781
joke,28189
opportunity,27425
grand,25833
saved,25454
advantage,24187
welcomed,23530
charming,23445
likes,23348
careful,23240
cares,23005
celebrate,22989
promised,22499
highlight,22484
classy,22150
thrilled,21761
adorable,21388
safety,20480
fitness,20286
grateful,19835
accept,19725
dream,19600
delight,18941
desired,18836
scoop,18832
ensure,18682
improve,18549
ease,18102
helps,17993
hopes,17832
greet,17729
charm,17248
exciting,16949
winner,16855
interest,16802
growing,16617
haha,16453
calm,16017
reach,16000
improved,15974
promise,15576
worthy,15389
