year,month,count
2004,10,53
2004,11,14
2004,12,23
2005,1,24
2005,2,29
2005,3,51
2005,4,72
2005,5,69
2005,6,64
2005,7,97
2005,8,95
2005,9,71
2005,10,75
2005,11,113
2005,12,177
2006,1,269
2006,2,235
2006,3,329
2006,4,318
2006,5,275
2006,6,354
2006,7,414
2006,8,749
2006,9,622
2006,10,629
2006,11,524
2006,12,705
2007,1,959
2007,2,957
2007,3,1000
2007,4,1106
2007,5,1199
2007,6,1326
2007,7,1616
2007,8,1660
2007,9,1343
2007,10,1450
2007,11,1352
2007,12,1372
2008,1,1887
2008,2,1927
2008,3,2099
2008,4,2032
2008,5,2261
2008,6,2533
2008,7,3145
2008,8,3259
2008,9,2952
2008,10,2728
2008,11,3098
2008,12,3176
2009,1,4285
2009,2,4090
2009,3,4577
2009,4,5115
2009,5,5295
2009,6,5717
2009,7,6105
2009,8,7062
2009,9,6388
2009,10,5551
2009,11,5189
2009,12,5537
2010,1,8153
2010,2,6955
2010,3,8331
2010,4,7213
2010,5,7279
2010,6,9464
2010,7,12363
2010,8,11101
2010,9,9734
2010,10,8869
2010,11,9015
2010,12,10577
2011,1,12738
2011,2,13422
2011,3,14197
2011,4,13815
2011,5,14457
2011,6,14977
2011,7,17605
2011,8,16192
2011,9,14220
2011,10,15296
2011,11,14953
2011,12,14563
2012,1,16349
2012,2,14685
2012,3,16066
2012,4,14700
2012,5,15397
2012,6,16791
2012,7,17720
2012,8,16644
2012,9,17084
2012,10,17972
2012,11,15858
2012,12,16689
2013,1,18245
2013,2,16034
2013,3,18203
2013,4,16500
2013,5,17489
2013,6,18457
2013,7,20187
2013,8,20901
2013,9,17318
2013,10,16241
2013,11,14936
2013,12,15251
2014,1,17009
2014,2,15210
2014,3,18466
2014,4,17134
2014,5,21557
2014,6,21535
2014,7,25127
2014,8,23433
2014,9,18354
2014,10,19132
2014,11,18078
2014,12,18430
2015,1,20970
2015,2,18885
2015,3,21235
2015,4,19657
2015,5,20325
2015,6,21616
2015,7,24020
2015,8,22745
2015,9,18516
2015,10,23074
2015,11,18589
2015,12,18218
2016,1,21063
2016,2,19347
2016,3,20393
2016,4,19436
2016,5,20354
2016,6,20608
2016,7,20893
2016,8,17729
2016,9,15442
2016,10,14995
2016,11,12475
2016,12,14885
2017,1,16104
2017,2,13461
2017,3,14122
2017,4,13032
2017,5,13690
2017,6,13399
2017,7,13809
2017,8,11875
2017,9,10661
2017,10,10601
2017,11,9600
2017,12,10670
2018,1,12528
2018,2,10821
2018,3,12813
2018,4,11449
2018,5,11554
2018,6,12115
2018,7,13333
2018,8,11564
2018,9,9564
2018,10,9265
2018,11,8703
2018,12,9859
2019,1,10814
2019,2,10546
2019,3,11505
2019,4,8918
2019,5,9573
2019,6,10390
2019,7,9912
2019,8,8456
2019,9,6828
2019,10,6535
2019,11,5671
2019,12,5507
2020,1,5617
2020,2,5194
2020,3,3453
2020,4,1939
2020,5,3039
2020,6,4169
2020,7,4851
2020,8,4742
2020,9,4130
2020,10,4007
2020,11,3161
2020,12,3142
2021,1,3531
2021,2,3187
2021,3,3941
2021,4,3888
2021,5,4003
2021,6,3740
2021,7,3955
2021,8,3790
2021,9,2985
2021,10,2793
2021,11,2206
2021,12,2466
2022,1,2782
